Library Name;License;Free;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Interactivity;Rendering Technologies;Rendering Technologies;Rendering Technologies;Databinding;HTML 5 Canvas
OLAPCharts;Proprietary;Free basic edition;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;;;
plotly.js;MIT;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;via Python;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;;Yes
PlusCharts;Free;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;;Yes;No;No;Yes;;Yes;Yes;Yes;No;Yes;Yes;;
ReactiveChart;MIT;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;;
RGraph;MIT;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;
rickshaw;MIT;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;;Yes;No;No;No;;Yes;Yes;No;No;Yes;No;;
Shield UI;Proprietary;Non-commercial or commercial;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;;;
Syncfusion;Proprietary;Yes Free or commercial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
TeeChart JS;MIT;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;
Vaadin Charts;Proprietary;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;;;
VanCharts;Proprietary;cc-by-nc 4.0 or commercial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;Yes;;;
VisJS;Apache 2.0 and MIT;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;;
Webcharts;MIT;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;;Yes;No;No;Yes;;Yes;Yes;Yes;No;Yes;No;;
Webix JS Charts;GPL;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes;No;Yes;Yes;
xcharts;MIT;Yes;Yes;No;No;No;No;No;No;No;No;No;No;Yes;;No;No;No;No;;No;Yes;Yes;No;Yes;No;;
YUI Charts;BSD-3;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;;Yes;No;No;No;;Yes;Yes;No;Yes;Yes;Yes;;
ZingChart;Proprietary;Free with a link or commercial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;
ZoomCharts;Proprietary;Non-commercial or commercial;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;No;;
