 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0168 ; Resource Application Priority ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0170 ; Recommended Order of Stream Feature Negotiation ; Approved ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0171 ; Language Translation ; Draft ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; Yes ; No 
 0172 ; User Nickname ; Draft ; No ; unk ; unk ; No ; Yes ; No ; No ; unk ; Yes ; Yes 
 0175 ; Best Practices for Use of SASL ANONYMOUS ; Approved ; Yes ; unk ; unk ; Yes ; Yes ; No ; Yes ; Yes ; Yes ; Yes 
 0176 ; Jingle ICE-UDP Transport Method ; Draft ; Yes ; unk ; unk ; No ; unk ; No ; No ; unk ; Yes ; Yes 
 0178 ; Best Practices for Use of SASL EXTERNAL with Certificates ; Approved ; No ; unk ; Yes ; Yes ; Yes ; No ; No ; unk ; Yes ; Yes 
 0182 ; Application-Specific Error Conditions ; Approved ; unk ; unk ; unk ; No ; Yes ; No ; unk ; unk ; Yes ; No 
 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0184 ; Message Delivery Receipts ; Draft ; No ; unk ; unk ; unk ; unk ; No ; Yes ; unk ; Yes ; Yes 
 0185 ; Dialback Key Generation and Validation ; Approved ; unk ; unk ; Yes ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0189 ; Public Key Publishing ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; Yes ; Yes 
 0190 ; Best Practice for Closing Idle Streams ; Obsolete ; Yes ; unk ; unk ; Yes ; Yes ; No ; unk ; unk ; No ; Yes 
 0191 ; Blocking Command ; Draft ; Yes ; unk ; unk ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0192 ; Proposed Stream Feature Improvements ; Obsolete ; unk ; unk ; unk ; Yes ; No ; No ; unk ; unk ; unk ; unk 
 0193 ; Proposed Resource Binding Improvements ; Obsolete ; Contrib. ; Contrib. ; unk ; Yes ; No ; No ; unk ; unk ; unk ; unk 
 0194 ; User Chatting ; Deferred ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; Yes ; unk 
 0195 ; User Browsing ; Deferred ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; Yes ; unk 
 0198 ; Stream Management ; Draft ; Yes ; No ; No ; Yes ; Yes ; Yes ; Yes ; Partial ; Yes ; Yes 
 0199 ; XMPP Ping ; Final ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; unk ; Yes ; Yes 
 0202 ; Entity Time ; Final ; Yes ; unk ; unk ; Yes ; Yes ; No ; Yes ; unk ; Yes ; No 
 0203 ; Delayed Delivery ; Final ; Yes ; unk ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0205 ; Best Practices to Discourage Denial of Service Attacks ; Approved ; Partial ; Yes ; unk ; Yes ; Yes ; No ; Partial ; unk ; No ; Yes 
 0206 ; XMPP over BOSH ; Draft ; Yes ; unk ; unk ; No ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0209 ; Metacontacts ; Deferred ; unk ; unk ; unk ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0212 ; XMPP Basic Server 2008 ; Obsolete ; Yes ; unk ; unk ; Yes ; unk ; Yes ; Yes ; unk ; Yes ; Yes 
 0214 ; File Repository and Sharing ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; unk 
 0215 ; External Service Discovery ; Deferred ; No ; No ; unk ; No ; Yes ; No ; No ; unk ; No ; No 
 0216 ; XMPP Intermediate IM Server 2008 ; Obsolete ; Yes ; unk ; unk ; Yes ; unk ; No ; Yes ; unk ; Yes ; Yes 
 0220 ; Server Dialback ; Draft ; unk ; unk ; unk ; Yes ; Yes ; Yes ; unk ; unk ; Yes ; Yes 
 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0221 ; Data Forms Media Element ; Draft ; unk ; unk ; unk ; No ; No ; No ; unk ; unk ; Yes ; No 
 0223 ; Persistent Storage of Private Data via PubSub ; Approved ; Yes ; Yes ; unk ; No ; Yes ; No ; No ; unk ; Yes ; Yes 
 0225 ; Component Connections ; Deferred ; No ; unk ; unk ; Yes ; No ; No ; No ; unk ; No ; Yes 
 0227 ; Portable Import/Export Format for XMPP-IM Servers (proposed) ; Draft ; Yes ; unk ; unk ; No ; No ; Yes ; No ; unk ; Yes ; No 
 0230 ; Service Discovery Notifications ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0232 ; Software Information ; Deferred ; unk ; unk ; unk ; Yes ; No ; No ; No ; unk ; No ; No 
 0233 ; Use of Domain-Based Service Names in XMPP SASL Negotiation ; Draft ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0235 ; OAuth Over XMPP ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0236 ; Abuse Reporting ; Retracted ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0237 ; Roster Versioning ; Obsolete ; Yes ; unk ; unk ; Yes ; Yes ; Yes ; Yes ; unk ; Yes ; Yes 
 0238 ; XMPP Protocol Flows for Inter-Domain Federation ; Deferred ; unk ; unk ; unk ; Yes ; unk ; No ; unk ; unk ; unk ; unk 
 0241 ; Encryption of Archived Messages ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0243 ; XMPP Server Compliance 2009 ; Obsolete ; Yes ; unk ; unk ; Yes ; Yes ; Yes ; Yes ; unk ; Yes ; Yes 
 0248 ; PubSub Collection Nodes ; Deferred ; Yes ; unk ; unk ; No ; No ; No ; No ; unk ; No ; Partial 
 0252 ; BOSH Script Syntax ; Deferred ; unk ; unk ; unk ; No ; Yes ; No ; No ; unk ; No ; No 
 0253 ; PubSub Chaining ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; Partial 
 0254 ; PubSub Queueing ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; unk 
 0255 ; Location Query ; Deferred ; unk ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0256 ; Last Activity in Presence ; Draft ; unk ; unk ; unk ; No ; No ; No ; unk ; unk ; No ; No 
