 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 dotted=no ; text-overflow ; Partial ; Partial ; 7.0publisher=Mozilla ; Partial ; 3.5.6 ; Experimental (Nightly){{citation |url= |title=New 10.70 snapshot with more Presto updates |date=2010-08-09 |publisher=Opera |author=Haavard|archiveurl= 
 Paged media ; Paged media ; Paged media ; Paged media ; Paged media ; Paged media ; Paged media ; Paged media 
 CSS2 
 CSS2 ; page-break-before ; 4.0 ; 12 ; Partial ; Partial ; 3.5 ; 1.0 
 CSS2 ; page-break-after ; 4.0 ; 12 ; Partial ; Partial ; 3.5 ; 1.0 
 CSS2 ; page-break-inside ; 8.0 ; 12 ; 19.0publisher=Mozilla ; 312 ; 3.5 ; 1.0 
 CSS2 ; orphans ; 8.0 ; 12 ; rowspan="2" nopublisher=Mozilla ; 312 ; 3.5 ; 1.0 
 widows ; 8.0 ; 12 ; 312 ; 3.5 ; 1.0 
 dotted=no ; page ; no ; rowspan="5" no ; no ; no ; no ; no 
 dotted=no ; size ; no ; nopublisher=Mozilla ; nopublisher=Webkit ; no ; 1.0 
 dotted=no ; image-orientation ; no ; 26.0publisher=Mozilla ; no ; no ; no 
 dotted=no ; object-fit ; no ; 36.0publisher=Mozilla ; no ; no ; 2.7{{citation |url= |title=Presto update for Opera 10.70 |author=Haavard |date=2010-08-03 |publisher=Opera|archiveurl= 
 dotted=no ; object-position ; no ; 36.0publisher=Mozilla ; no ; no ; 2.7{{citation |url= |title=Presto update for Opera 10.70 |author=Haavard |date=2010-08-03 |publisher=Opera|archiveurl= 
 Speech ; Speech ; Speech ; Speech ; Speech ; Speech ; Speech ; Speech 
 dotted=no ; cue ; rowspan="23" no ; rowspan="23" no ; rowspan="23" nopublisher=Mozilla ; rowspan="6" no ; rowspan="23" no ; 1.0 
 dotted=no ; cue-after ; 1.0 
 dotted=no ; cue-before ; 1.0 
 dotted=no ; pause ; 1.0 
 dotted=no ; pause-after ; 1.0 
 dotted=no ; pause-before ; 1.0 
 dotted=no ; speak ; nightlypublisher=WebKit ; 1.0 
 dotted=no ; voice-family ; rowspan="16" no ; 1.0 
 dotted=no ; voice-balance ; Experimental 
 dotted=no ; voice-duration ; Experimental 
 dotted=no ; voice-pitch ; Experimental 
 dotted=no ; voice-pitch-range ; Experimental 
 dotted=no ; voice-rate ; Experimental 
 dotted=no ; voice-stress ; Experimental 
 dotted=no ; voice-volume ; Experimental 
 dotted=no ; interpret-as ; Experimental 
 dotted=no ; phonemes ; Experimental 
 dotted=no ; rest ; rowspan="6" no 
 dotted=no ; rest-after 
 dotted=no ; rest-before 
 dotted=no ; mark 
 dotted=no ; mark-after 
 dotted=no ; mark-before 
 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Media Queries ; Media Queries ; Media Queries ; Media Queries ; Media Queries ; Media Queries ; Media Queries ; Media Queries 
